dataset,breed_group,primary_breed,bite_code,bite_severity,gender,age,average height,average_weight
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,MIX,MIXED,,,M,8,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,GERM SHEPHERD,German Shepherd,,,N,2,,
ny,MIX,German Shepherd Crossbreed,,,N,8,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,MIX,SHIH TZU X,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LHASA APSO/POODLE X,,,S,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MIXED BREED,,,M,5,,
ny,MIX,YORKIE-POO,,,M,7.25,,
ny,GERM SHEPHERD,German Shepherd,,,N,0.75,,
ny,MIX,MIXED,,,S,2,,
ny,MIX,MIXED,,,,,,
ny,MIX,Mixed/Other,,,M,4,,
ny,GOLDEN RETR,Golden Retriever,,,M,1,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,F,4,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,MIX,Labrador Retriever Crossbreed,,,N,5,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,N,15,,
ny,PIT BULL,PIT BULL/LAB X,,,F,8,,
ny,SHIBA INU,Shiba Inu,,,M,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,F,1,,
ny,BULLDOG,Bull dog,,,,,23.5,92.5
ny,PIT BULL,Pit Bull,,,,,,
ny,ROTTWEILER,Rottweiler,,,N,1,,
ny,MIX,German Shepherd Crossbreed,,,N,15,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,MIX,YORKIE POO,,,N,7,,
ny,MIX,Yorkshire Terrier Crossbreed,,,F,7,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,F,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,MIX,Beagle Crossbreed,,,N,4,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,N,2,,
ny,MIX,MIXED BREED,,,M,8,,
ny,GREAT DANE,Great Dane,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,CANE CORSO,Cane Corso,,,F,1,,
ny,MIX,Labrador Retriever Crossbreed,,,N,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MIXED BREED,,,M,1,,
